year,month,female,male,american_indian_or_alaska_native,asian,black_or_african_american,native_hawaiian_or_other_pacific_islander,white,hispanic_or_latino,not_hispanic_or_latino,accommodation_and_food_services,administrative_and_waste_services,"agriculture,_forestry,_fishing_and_hunting","arts,_entertainment,_and_recreation",construction,educational_services,finance_and_insurance,health_care_and_social_assistance,information,management_of_companies_and_enterprises,manufacturing,mining,other_services_(except_public_administration),"professional,_scientific,_and_technical_services",real_estate_and_rental_and_leasing,retail_trade,total_claims,transportation_and_warehousing,wholesale_trade,community_transmission_level,masks,cases,monthly_change_cases,monthly_rate_of_change_cases
2020,11,0.026130808711897657,0.025392980012639895,0.03210135263859783,0.019932983194180978,0.02860713490530126,0.05065176908752328,0.022673299144689168,0.03588746211305141,0.022845283585855164,0.08997230553434521,0.024778372444078496,0.03495406677123011,0.09233848161844681,0.055449526712863934,0.044355286630030646,0.004049507646629949,0.01403980849078545,0.018975395459936192,0.012904630653655071,0.014289492255475081,0.03,0.03756175076933417,0.009106834076869958,0.011809346807604445,0.01789497680156623,0.02575416715302616,0.032119201213720965,0.010381103553872666,high,1.0,3723668,1512681.0,952235.0
2020,12,0.021024040072666984,0.025190013118036633,0.034863783577824346,0.020552393979671284,0.037829219067592706,0.0446927374301676,0.018526513557030437,0.03333756348922933,0.020361029656397068,0.05348359037084733,0.03043227665706052,0.04600791694674733,0.0460822275396998,0.06332697160277184,0.044590523860242946,0.004558990170500962,0.013124329954031488,0.021447542051547596,0.009328924824223116,0.013535568124204617,0.06,0.03322179388085282,0.009392833824738602,0.013358113602044372,0.022293292568455494,0.023150656431725838,0.033870709114008364,0.010298338491370265,high,1.0,6208709,2485041.0,972360.0
2021,1,0.017340157080247838,0.02196921968634534,0.02352995669191042,0.017929213553781354,0.038373913398069955,0.031874405328258804,0.015308294096102893,0.0241428961894913,0.01760590259248086,0.027579024417802078,0.024121311984585943,0.019741415264840818,0.018800479016036233,0.04720473038479289,0.028498471044418525,0.006743477398532302,0.012531946474019815,0.019724334600760455,0.008427857772553629,0.014292086689412667,0.0512,0.028373139328961853,0.012165715992452884,0.01507508326354128,0.02423892943071325,0.01968367750600167,0.0366956445764711,0.01207219670231571,high,1.0,7231660,1022951.0,-1462090.0
2021,2,0.012355194872001473,0.01634395514872297,0.018990713078116676,0.011625908928983048,0.02648799973051031,0.021408182683158895,0.011603716620857818,0.01646721350739813,0.01290484640951419,0.018687319003441238,0.016835433375535978,0.011121924092868066,0.012821782623963407,0.041096611728702895,0.01838529680653195,0.005553451975261896,0.008910977741120185,0.014801738185768604,0.006699970614163973,0.010944336947132706,0.032,0.017709280620303452,0.00902594138601744,0.011608203649962021,0.016848607769448475,0.014373420423040831,0.02363998327477424,0.009246285819011641,high,1.0,6997846,-233814.0,-1256765.0
2021,3,0.01570469526039036,0.017525962884436964,0.022881493318511314,0.014148907189706838,0.03157993649262715,0.021408182683158895,0.012719791731970397,0.017932468644948955,0.014917189127549862,0.03639212912131774,0.017372398417532436,0.009175587376616154,0.02031316123571731,0.031172467624183443,0.02078118596513351,0.0055624673193775806,0.010449182232146883,0.018977457903313417,0.008451366441375258,0.010890629732015916,0.0288,0.02534820274733164,0.009623299895826503,0.015347759188204819,0.018903316034015363,0.01662621688593984,0.032426967554310175,0.009790184984835856,high,1.0,8197123,1199277.0,1433091.0
2021,4,0.013400665172154665,0.014557289990449014,0.016674772458834156,0.010209341799207896,0.028310601050655197,0.01807802093244529,0.01122839202695078,0.013976279773561725,0.012863621332998874,0.021457994060733787,0.015582514944210911,0.010287779785902961,0.01563104960337112,0.02235100619794393,0.020049809274613032,0.007086060474928328,0.010792184153134446,0.015412819120043454,0.00813399941228328,0.010789182770128644,,0.016905183554300485,0.009295481201419091,0.014101240675457219,0.0154832209871879,0.013986550002426164,0.025686951203529772,0.008938864551371868,high,1.0,8764835,567712.0,-631565.0
2021,5,0.010956795107465358,0.010752499413222233,0.01815697445517497,0.010578152176190776,0.030133202370800083,0.023786869647954328,0.0071179690567556774,0.012375770315621593,0.009667629807896384,0.015779092702169626,0.015024492449587142,0.0036146253301821214,0.010588775537767534,0.01789071671276665,0.020453327448693295,0.00392167469032293,0.009314093400837525,0.012662954915806627,0.004689979429914781,0.00788302568547563,,0.013018714401952807,0.006257694633243729,0.007284342558868785,0.012354761952105412,0.010854083892653327,0.020819161616855035,0.0058528279800649135,high,1.0,9799740,1034905.0,467193.0
2021,6,0.009622322189308035,0.00890861935905013,0.015099932837722041,0.00780369229479684,0.024970347269377993,0.019980970504281638,0.0062724576089431185,0.010200429996026904,0.008265977206375702,0.011652555382797743,0.012760816292151098,0.005560962046434033,0.0083917846948974,0.01409947065036596,0.028271492071498375,0.003110293719911289,0.00787136367132283,0.009607550244432373,0.003608580664119894,0.006230036953547734,,0.010376681185085914,0.00550006920616882,0.006700037006018347,0.009882483943449125,0.009261862093524937,0.020968939757983487,0.004753205753507263,moderate,0.0,9669425,-130315.0,-1165220.0
2021,7,0.007130506989834633,0.007281895841582356,0.010838602098242202,0.005238783763961359,0.018240196869309912,0.009514747859181731,0.005111838480092124,0.008351954284039708,0.006370322416781681,0.008577302570980126,0.01034973796632387,0.008619491171972752,0.006554956285284664,0.012947229200028497,0.015308470729169951,0.0031283244081426586,0.005788599429449898,0.007400869092884302,0.0031031442844548928,0.005066380626017267,,0.00815584166945867,0.004691449759963867,0.006154685156691273,0.007695213855361795,0.007207764384070873,0.012581363854790093,0.004315721641866047,moderate,0.0,10070194,400769.0,531084.0
2021,8,0.0070652483341562804,0.007737014331681253,0.009171124852358785,0.005565683870832548,0.017531013476257427,0.014747859181731684,0.005198451847916825,0.008768988438573405,0.006459759870916599,0.009481210745699681,0.009991761271659565,0.0044487696371472265,0.006626988771936143,0.015883586444436874,0.010945430471927114,0.003110293719911289,0.006166962373219683,0.008385388375882673,0.0033382309726711725,0.005143957714519298,,0.008691906380127316,0.004400055364935055,0.007440157372962234,0.008198948784739483,0.007405147251731418,0.011632768960976553,0.004374841116412158,high,0.0,10427492,357298.0,-43471.0
2021,9,0.004858440324788334,0.0054250124019788555,0.008244748604645778,0.0037300140399404874,0.010474638715385202,0.014272121788772598,0.003904200665850576,0.006165342771079245,0.004555720319997429,0.006464908467015949,0.0061277187145478045,0.0036146253301821214,0.0050062578222778474,0.014322485124624825,0.007162447589924656,0.0020464831142604713,0.004211497813362754,0.004413362303096143,0.002727005583308845,0.003813212273292148,,0.006719954051596228,0.0030450714280510814,0.004752351829850223,0.004818622284968152,0.005145113417018186,0.006914757515430269,0.0032160994153083967,high,0.0,10784370,356878.0,-420.0
2021,10,0.004939680692061384,0.005863226491016936,0.008800574353273583,0.0037383960939628255,0.011141271104854538,0.008563273073263558,0.004097224742717053,0.006503478572052512,0.004780711415555584,0.007201790131189499,0.006980545545953942,0.005282913944112331,0.006302842582004484,0.016453512323098416,0.006733709529964377,0.002001406393682047,0.003903856915157414,0.004786800651819663,0.0024331472230384953,0.0035685460710934342,,0.006700808883358063,0.0032709020841984104,0.004791305533373586,0.005083745932009041,0.005406974688114508,0.007463944032901265,0.0028732064629409574,high,0.0,12101608,1317238.0,960360.0
2021,11,0.004919703552568011,0.008731773317183129,0.011579703096412607,0.003914419228431928,0.010112955184928435,0.013320647002854425,0.005709058273473872,0.009997548515442944,0.006027245932561015,0.00668106042184019,0.012097506534390769,0.019463367162519115,0.009652353211298296,0.03417077333366372,0.006910248731124492,0.0021997439642271145,0.0035396383805005177,0.004039923954372623,0.0024213928886276815,0.004463666323039948,0.0288,0.00708371224812138,0.004130515549533404,0.004908166643943673,0.004911415561432463,0.006848527564928683,0.00848742799727903,0.0028968542527594014,high,0.0,13079437,977829.0,-339409.0
